id,name,teacher,day,slots,credit,isBase,isLang,CourseNumber,program,isSmr
1141130,公司法案例研習（二）,周振鋒,5,C,1,False,False,651696001,法律系碩士班,False
1141131,歐盟經貿法,洪德欽,4,E|F,2,False,False,651706001,法律系碩士班,False
1141132,民法中心公益服務實習（一）,周伯峰,4,C,1,False,False,651715001,法律系碩士班,False
1141133,公司法案例研習（一）,陳盈如,5,C,1,False,False,651717001,法律系碩士班,False
1141134,國際人權法,翁燕菁,4,D|5|6,3,False,False,651731001,法律系碩士班,False
1141135,大陸經貿法律研究（二）,王文杰,4,3|4,2,False,False,651923001,法律系碩士班,False
1141136,律師實務,范瑞華,3,7|8,2,False,False,651A13001,法律系碩士班,False
1141137,國際租稅法,鍾騏,5,2|3|4,3,False,False,651A14001,法律系碩士班,False
1141138,檢察實務研究（一）,黃謀信,2,7|8,2,False,False,651A18001,法律系碩士班,False
1141139,國際公法專題研究（四）,陳貞如,4,D|5,2,False,False,651A24001,法律系碩士班,False
1141140,財經法綜合研習,朱德芳、程春益,1,5|6,2,False,False,651A28001,法律系碩士班,False
1141141,AI與倫理,陳柏良,3,2|3|4,3,False,False,651A59001,法律系碩士班,False
1141142,公法實務專題研究（五）,傅玲靜,2,3|4,2,False,False,651B20001,法律系碩士班,False
1141143,公司治理與ESG,陳盈如,4,D|5,2,False,False,651B59001,法律系碩士班,False
1141144,刑法基礎理論與思想專題研究（一）,廖宜寧,5,D|5|6,3,False,False,651B78001,法律系碩士班,False
1141145,智慧財產權法專題研究（六）,沈宗倫,2,5|6,2,False,False,651B79001,法律系碩士班,False
1141146,人性尊嚴的歷史與法律解釋,江玉林,4,2|3|4,3,False,False,651B80001,法律系碩士班,False
1141147,國際公法研究,陳純一,5,3|4|C,3,False,False,651B81001,法律系碩士班,False
1141148,用台語學法律,詹森林,2,5,1,False,False,651B82001,法律系碩士班,False
1141149,契約法,詹森林,2,6,1,False,False,651B83001,法律系碩士班,False
1141150,環境法,傅玲靜,3,7|8,2,False,False,651B84001,法律系碩士班,False
1141151,要件事實與民事訴訟,邱琦,2,7|8,2,False,False,651B85001,法律系碩士班,False
1141152,英國契約法導論,陳明渝,0,,1,False,True,651B86001,法律系碩士班,False
1141153,英文契約導讀及撰寫（三）,顏玉明,0,,2,False,True,651B87001,法律系碩士班,False
1141154,刑罰思想史專題研究（四）,李聖傑,4,D|5,2,False,False,651B89001,法律系碩士班,False
1141155,社會法名著選讀,張桐銳,2,3|4,2,False,False,651B90001,法律系碩士班,False
1141156,工程法論文專題研討,顏玉明,3,7|8,2,False,False,651B91001,法律系碩士班,False
1141201,企業併購實例研習（一）,方嘉麟、朱德芳、林進富、樓永堅,5,5|6|7,3,False,False,652064001,法科所,False
1141202,憲法,劉定基,1,5|6|7,3,True,False,652098001,法科所,False
