subNum,subNam,departmentCode,departmentName,registeredCount,remainingSeats,waitingCount,maximumLimit,isFull,addable,remainUpdatedAt,status
090130001,當音樂遇上建築：藝術本質的跨界對話,2S3,人文學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042051001,經濟全球化與台商大陸投資,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042053001,歐洲政府與外交政策,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042078001,現代經濟社會：歐洲經濟發展觀,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042096001,歐盟的兩岸政策,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042103001,由歷史事件看國際關係,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042112001,臺灣政治,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042112011,臺灣政治,2S4,社會科學類通識,,,0,,,false,2026-08-31T21:38:53+08:00,ok
042112081,臺灣政治,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042116031,生活中的經濟學,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042116041,生活中的經濟學,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042126001,同志文學在東亞,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042133001,社會學動動腦,2S4,社會科學類通識,,,0,,,false,2026-08-31T21:38:53+08:00,ok
042133011,社會學動動腦,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042137001,法學素養,2S4,社會科學類通識,,,0,,,false,2026-08-31T21:38:53+08:00,ok
042137011,法學素養,2S4,社會科學類通識,,,0,,,false,2026-08-31T21:38:53+08:00,ok
042139021,認識智慧財產權,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
042142001,環視全球－挑戰國際視野,2S4,社會科學類通識,,,0,,,true,2026-08-31T21:38:53+08:00,ok
